state,pop
AL,4934190
AK,724357
AZ,7520100
AR,3033950
CA,39613500
CO,5893630
CT,3552820
DE,990334
FL,21944600
GA,10830000
HI,1406430
ID,1860120
IL,12569300
IN,6805660
IA,3167970
KS,2917220
KY,4480710
LA,4627000
ME,1354520
MD,6065440
MA,6912240
MI,9992430
MN,5706400
MS,2966410
MO,6169040
MT,1085000
NE,1952000
NV,3185790
NH,1372200
NJ,8874520
NM,2105000
NY,19300000
NC,10701000
ND,770026
OH,11714600
OK,3990440
OR,4289440
PA,12804100
RI,1061510
SC,5277830
SD,896581
TN,6944260
TX,29730300
UT,3310770
VT,623251
VA,8603980
WA,7796940
WV,1767860
WI,5852490
WY,581075
