State.Abbreviation,nursinghm.closed.days,nursinghm.flag,rest.closed.days.x1,rest.closed.days.x2,rest.closed.days.x3,rest.duration.days,rest.flag,daycare.closed.days,daycare.flag,movies.closed.days.x1,movies.closed.days.x2,movies.duration.days,movies.flag,gym.closed.days.x1,gym.closed.days.x2,gyms.duration.days,gyms.flag,emr.closed.days,emr.flag,facemsk.duration.days,facemsk.mandate.flag,facemsk.enforced.flag,stayhm.duration.days,stayhm.flag,relgn.gathering.banned.flag,state,state.fips.code,population.density.per.square.mile,population.2018,square.miles,number.homeless..2019.,percent.unemployed..2018.,percent.living.under.the.federal.poverty.line..2018.,percent.at.risk.for.serious.illness.due.to.covid,all.cause.deaths.2018,mental.health.professionals.per.100.000.population.in.2019,were.there.casino.s..in.state...land.and.non.land.based.,state.has.at.least.one.american.indian.alaskan.native.reservation,Legislature.Control,State.Control,most_recent_population,date,fips,cases,deaths,infections.per.capita
AL,197.5,1,1,0,0,1,1,64,1,55,0,55,1,44,0,44,1,369.5,1,243.5,1,0,26,1,1,Alabama,1,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,100.7,1,1,Rep,Rep,4934190,2021-04-05,01,516918,10638,0.10476248381193266
AK,0,0,37,0,0,37,1,0,0,51,0,51,1,51,0,51,1,340,1,28,1,1,27,1,1,Alaska,2,1.11,737438,665384,1907,6.8,10.9,32.8,4453,429.9,0,1,Rep,Rep,724357,2021-04-05,02,63486,299,0.08764462827031422
AZ,0,0,51,0,0,51,1,0,0,56,248.5,304.5,1,53,248.5,301.5,1,371.5,1,0,0,1,46,1,0,Arizona,4,62.91,7171646,113990,10007,5.4,14,39.1,59282,132.9,1,1,Rep,Rep,7520100,2021-04-05,04,844921,16990,0.11235502187470911
AR,203.5,1,52,0,0,52,1,0,0,59,0,59,1,45,0,45,1,371.5,1,239.5,1,1,0,0,1,Arkansas,5,56.67,3013825,53179,2717,4.5,17.2,43.5,32336,231.6,1,0,Rep,Rep,3033950,2021-04-05,05,331098,5648,0.10913100084048848
CA,0,0,63,234.5,0,297.5,1,0,0,350.5,0,350.5,1,350.5,0,350.5,1,378.5,1,271.5,1,0,312,1,1,California,6,241.65,39557045,163695,151278,5.5,12.8,33.3,268818,356.2,1,1,Dem,Dem,39613500,2021-04-05,06,3682946,59761,0.09297199187145797
CO,204.5,1,71,0,0,71,1,0,0,93,0,93,1,79,0,79,1,371.5,1,243.5,1,1,32,1,0,Colorado,8,54.72,5695564,104094,9619,3.9,9.6,31.3,38526,356.4,1,1,Dem,Dem,5893630,2021-04-05,08,471702,6190,0.08003590317003273
CT,207.5,1,65,0,0,65,1,0,0,93,0,93,1,93,0,93,1,372.5,1,330.5,1,0,0,0,1,Connecticut,9,644.54,3572665,5543,3033,5.5,10.4,36,31230,396.9,1,1,Dem,Dem,3552820,2021-04-05,09,316655,7923,0.08912779144454265
DE,0,0,77,0,0,77,1,70,1,74,0,74,1,74,0,74,1,369.5,1,322.5,1,1,69,1,0,Delaware,10,388.58,967171,2489,921,5.7,12.5,41.3,9433,262.6,1,0,Dem,Dem,990334,2021-04-05,10,96577,1566,0.09751962469227554
FL,201.5,1,45,0,0,45,1,0,0,63,0,63,1,45,0,45,1,373.5,1,0,0,1,45,1,0,Florida,12,323.9,21299325,65758,28328,5.2,13.6,42.1,205426,160.5,1,1,Rep,Rep,21944600,2021-04-05,12,2085298,33709,0.09502556437574619
GA,182.5,1,24,0,0,24,1,0,0,24,0,24,1,21,0,21,1,368.5,1,0,0,1,28,1,1,Georgia,13,177.02,10519475,59425,10443,4.8,14.3,36.2,85202,137.3,1,1,Rep,Rep,10830000,2021-04-05,13,1041275,18625,0.09614727608494922
HI,199.5,1,80,0,0,80,1,0,0,94,0,94,1,86,0,86,1,378.5,1,0,0,1,67,1,1,Hawaii,15,129.94,1420491,10932,6412,3.8,8.8,39.1,11415,250.5,0,0,Dem,Dem,1406430,2021-04-05,15,30427,464,0.021634208599077095
ID,0,0,52,0,0,52,1,0,0,66,0,66,1,52,0,52,1,369.5,1,0,0,1,37,1,1,Idaho,16,20.99,1754208,83569,2315,4,11.8,36.2,14261,208.8,1,1,Rep,Rep,1860120,2021-04-05,16,181961,1975,0.09782218351504204
IL,0,0,74,104.5,0,178.5,1,67,1,97,104.5,201.5,1,69,0,69,1,373.5,1,319.5,1,1,69,1,1,Illinois,17,220,12741080,57914,10199,5.5,12.1,36.2,110022,228.8,1,0,Dem,Dem,12569300,2021-04-05,17,1262345,23665,0.10043081158059716
IN,0,0,63,0,0,63,1,0,0,79,0,79,1,68,0,68,1,376.5,1,232.5,1,1,54,1,1,Indiana,18,183.74,6691878,36420,5471,4.4,13.1,39.9,65693,160,1,0,Rep,Rep,6805660,2021-04-05,18,694918,13075,0.1021088329419924
IA,0,0,59,0,0,59,1,0,0,66,0,66,1,59,0,59,1,373.5,1,83,1,1,0,0,1,Iowa,19,56.09,3156145,56273,2315,3.6,11.2,36.9,30367,155.7,1,1,Rep,Rep,3167970,2021-04-05,19,353829,5822,0.11168950463546057
KS,0,0,35,0,0,35,1,0,0,53,0,53,1,49,0,49,1,370.5,1,256.5,1,0,35,1,0,Kansas,20,35.39,2911505,82278,2381,3.8,12,38,27537,196.7,1,1,Rep,Divided,2917220,2021-04-05,20,305489,4927,0.1047192189824559
